Info 0    [18:44:21.185] Starting TS Server
Info 100  [18:54:18.349] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 24 structureChanged: false Elapsed: 2.7234000004827976ms
Info 101  [18:54:18.349] Different program with same set of files:: structureIsReused:: 2
Info 102  [18:54:19.060] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 103  [18:54:19.063] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 25 structureChanged: false Elapsed: 2.544700000435114ms
Info 104  [18:54:19.063] Different program with same set of files:: structureIsReused:: 2
Info 105  [18:54:19.360] getCompletionData: Get current token: 0.014300000853836536
Info 106  [18:54:19.360] getCompletionData: Is inside comment: 0.10769999958574772
Info 107  [18:54:19.360] Returning an empty list because completion was inside a regular comment or plain text part of a JsDoc comment.
Info 108  [18:54:19.892] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 109  [18:54:19.894] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 26 structureChanged: false Elapsed: 2.4046000000089407ms
Info 110  [18:54:19.894] Different program with same set of files:: structureIsReused:: 2
Info 111  [18:54:20.201] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 112  [18:54:20.205] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 27 structureChanged: false Elapsed: 3.427300000563264ms
Info 113  [18:54:20.205] Different program with same set of files:: structureIsReused:: 2
Info 114  [18:54:21.025] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 115  [18:54:21.027] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 28 structureChanged: false Elapsed: 2.3360999999567866ms
Info 116  [18:54:21.027] Different program with same set of files:: structureIsReused:: 2
Info 117  [18:54:24.133] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 118  [18:54:24.136] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 29 structureChanged: false Elapsed: 2.703199999406934ms
Info 119  [18:54:24.136] Different program with same set of files:: structureIsReused:: 2
Info 120  [18:54:26.887] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 121  [18:54:26.890] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 30 structureChanged: false Elapsed: 2.5219999998807907ms
Info 122  [18:54:26.890] Different program with same set of files:: structureIsReused:: 2
Info 123  [18:54:29.294] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 124  [18:54:29.298] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 31 structureChanged: false Elapsed: 4.391800000332296ms
Info 125  [18:54:29.298] Different program with same set of files:: structureIsReused:: 2
Info 126  [18:54:29.593] getCompletionData: Get current token: 0.012199999764561653
Info 127  [18:54:29.593] getCompletionData: Is inside comment: 0.06930000055581331
Info 128  [18:54:29.593] Returning an empty list because completion was inside a regular comment or plain text part of a JsDoc comment.
Info 129  [18:54:30.623] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 130  [18:54:30.626] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 32 structureChanged: false Elapsed: 2.809399999678135ms
Info 131  [18:54:30.626] Different program with same set of files:: structureIsReused:: 2
Info 132  [18:54:40.893] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 133  [18:54:40.896] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 33 structureChanged: false Elapsed: 2.6858000000938773ms
Info 134  [18:54:40.896] Different program with same set of files:: structureIsReused:: 2
Info 135  [18:54:41.554] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 136  [18:54:41.556] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 34 structureChanged: false Elapsed: 2.144099999219179ms
Info 137  [18:54:41.556] Different program with same set of files:: structureIsReused:: 2
Info 138  [18:54:41.854] getCompletionData: Get current token: 0.022300000302493572
Info 139  [18:54:41.854] getCompletionData: Is inside comment: 0.04339999984949827
Info 140  [18:54:41.854] getCompletionData: Get previous token 1: 0.034100000746548176
Info 141  [18:54:41.854] getCompletionData: Get previous token 2: 0.034899999387562275
Info 142  [18:54:41.854] getCompletionsAtPosition: isCompletionListBlocker: 0.1797000002115965
Info 143  [18:54:41.863] getSymbolsFromOtherSourceFileExports: Recomputing list
Info 144  [18:54:41.863] forEachExternalModuleToImportFrom: filtered out 0 modules by package.json contents
Info 145  [18:54:41.864] getSymbolsFromOtherSourceFileExports: 0.7332000005990267
Info 146  [18:54:41.865] getCompletionData: Semantic work: 10.336500000208616
Info 147  [18:54:41.880] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 14.460799999535084
Info 148  [18:54:42.447] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 149  [18:54:42.450] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 35 structureChanged: false Elapsed: 3.8240999998524785ms
Info 150  [18:54:42.451] Different program with same set of files:: structureIsReused:: 2
Info 151  [18:54:42.738] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 152  [18:54:42.741] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 36 structureChanged: false Elapsed: 2.7092999992892146ms
Info 153  [18:54:42.741] Different program with same set of files:: structureIsReused:: 2
Info 154  [18:54:43.048] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 155  [18:54:43.051] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 37 structureChanged: false Elapsed: 2.9268000004813075ms
Info 156  [18:54:43.051] Different program with same set of files:: structureIsReused:: 2
Info 157  [18:54:43.348] getCompletionData: Get current token: 0.03609999921172857
Info 158  [18:54:43.348] getCompletionData: Is inside comment: 0.040099999867379665
Info 159  [18:54:43.348] getCompletionData: Get previous token 1: 0.028299999423325062
Info 160  [18:54:43.348] getCompletionData: Get previous token 2: 0.03210000041872263
Info 161  [18:54:43.348] getCompletionsAtPosition: isCompletionListBlocker: 0.002499999478459358
Info 162  [18:54:43.349] getCompletionData: Semantic work: 0.6427999995648861
Info 163  [18:54:43.349] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 0.4748999997973442
Info 164  [18:54:43.871] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 165  [18:54:43.874] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 38 structureChanged: false Elapsed: 2.742999999783933ms
Info 166  [18:54:43.874] Different program with same set of files:: structureIsReused:: 2
Info 167  [18:54:44.319] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 168  [18:54:44.322] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 39 structureChanged: false Elapsed: 2.8387000001966953ms
Info 169  [18:54:44.322] Different program with same set of files:: structureIsReused:: 2
Info 170  [18:54:44.322] getCompletionData: Get current token: 0.03199999965727329
Info 171  [18:54:44.322] getCompletionData: Is inside comment: 0.009999999776482582
Info 172  [18:54:44.322] getCompletionData: Get previous token 1: 0.05329999979585409
Info 173  [18:54:44.322] getCompletionData: Get previous token 2: 0.040099999867379665
Info 174  [18:54:44.323] getCompletionsAtPosition: isCompletionListBlocker: 0.0029999995604157448
Info 175  [18:54:44.323] getCompletionData: Semantic work: 0.3212999999523163
Info 176  [18:54:44.799] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 177  [18:54:44.801] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 40 structureChanged: false Elapsed: 2.479600000195205ms
Info 178  [18:54:44.801] Different program with same set of files:: structureIsReused:: 2
Info 179  [18:54:45.099] getCompletionData: Get current token: 0.03239999990910292
Info 180  [18:54:45.099] getCompletionData: Is inside comment: 0.08440000005066395
Info 181  [18:54:45.099] getCompletionData: Get previous token 1: 0.052799999713897705
Info 182  [18:54:45.099] getCompletionsAtPosition: isCompletionListBlocker: 0.004500000737607479
Info 183  [18:54:45.100] getCompletionData: Semantic work: 0.7275999998673797
Info 184  [18:54:45.100] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 0.0026000002399086952
Info 185  [18:54:45.857] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 186  [18:54:45.859] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 41 structureChanged: false Elapsed: 2.1726999999955297ms
Info 187  [18:54:45.859] Different program with same set of files:: structureIsReused:: 2
Info 188  [18:54:48.533] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 189  [18:54:48.535] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 42 structureChanged: false Elapsed: 2.1184999998658895ms
Info 190  [18:54:48.535] Different program with same set of files:: structureIsReused:: 2
Info 191  [18:54:48.747] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 192  [18:54:48.750] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 43 structureChanged: false Elapsed: 3.5550999995321035ms
Info 193  [18:54:48.750] Different program with same set of files:: structureIsReused:: 2
Info 194  [18:54:49.743] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 195  [18:54:49.745] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 44 structureChanged: false Elapsed: 2.055900000035763ms
Info 196  [18:54:49.745] Different program with same set of files:: structureIsReused:: 2
Info 197  [18:54:50.130] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 198  [18:54:50.132] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 45 structureChanged: false Elapsed: 2.501899999566376ms
Info 199  [18:54:50.132] Different program with same set of files:: structureIsReused:: 2
Info 200  [18:54:50.437] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 201  [18:54:50.440] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 46 structureChanged: false Elapsed: 3.5941999992355704ms
Info 202  [18:54:50.440] Different program with same set of files:: structureIsReused:: 2
Info 203  [18:54:50.827] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 204  [18:54:50.829] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 47 structureChanged: false Elapsed: 1.9718000004068017ms
Info 205  [18:54:50.829] Different program with same set of files:: structureIsReused:: 2
Info 206  [18:54:51.303] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 207  [18:54:51.306] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 48 structureChanged: false Elapsed: 2.7235000003129244ms
Info 208  [18:54:51.306] Different program with same set of files:: structureIsReused:: 2
Info 209  [18:56:54.782] Search path: /home/jackson/git_repos/TODO_TRACKER_316_HW1/src/todo
Info 210  [18:56:54.782] For info: /home/jackson/git_repos/TODO_TRACKER_316_HW1/src/todo/ToDoModel.js :: No config files found.
Info 211  [18:56:54.785] Starting updateGraphWorker: Project: /dev/null/inferredProject3*
Info 212  [18:56:54.820] Finishing updateGraphWorker: Project: /dev/null/inferredProject3* Version: 1 structureChanged: true Elapsed: 34.737099999561906ms
Info 213  [18:56:54.820] Project '/dev/null/inferredProject3*' (Inferred)
Info 214  [18:56:54.820] 	Files (23)

Info 215  [18:56:54.820] -----------------------------------------------
Info 216  [18:56:54.983] Starting updateGraphWorker: Project: /dev/null/inferredProject3*
Info 217  [18:56:54.983] Finishing updateGraphWorker: Project: /dev/null/inferredProject3* Version: 2 structureChanged: false Elapsed: 0.27139999996870756ms
Info 218  [18:56:57.424] Before ensureProjectForOpenFiles:
Info 219  [18:56:57.424] After ensureProjectForOpenFiles:
Info 220  [18:56:57.425] got projects updated in background, updating diagnostics for /home/jackson/git_repos/TODO_TRACKER_316_HW1/src/todo/ToDoController.js,/home/jackson/git_repos/TODO_TRACKER_316_HW1/src/todo/ToDoView.js,/home/jackson/git_repos/TODO_TRACKER_316_HW1/src/todo/ToDoModel.js
Info 221  [18:57:10.201] Format host information updated
Info 222  [18:57:10.456] Starting updateGraphWorker: Project: /dev/null/inferredProject3*
Info 223  [18:57:10.467] Finishing updateGraphWorker: Project: /dev/null/inferredProject3* Version: 3 structureChanged: false Elapsed: 10.577499999664724ms
Info 224  [18:57:10.467] Different program with same set of files:: structureIsReused:: 2
Info 225  [19:29:12.166] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 226  [19:29:12.173] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 49 structureChanged: false Elapsed: 6.768200000748038ms
Info 227  [19:29:12.173] Different program with same set of files:: structureIsReused:: 2
Info 228  [19:29:12.385] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 229  [19:29:12.388] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 50 structureChanged: false Elapsed: 3.1480000000447035ms
Info 230  [19:29:12.388] Different program with same set of files:: structureIsReused:: 2
Info 231  [19:29:17.086] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 232  [19:29:17.091] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 51 structureChanged: false Elapsed: 4.466599998995662ms
Info 233  [19:29:17.091] Different program with same set of files:: structureIsReused:: 2
Info 234  [19:29:17.386] getCompletionData: Get current token: 0.008999999612569809
Info 235  [19:29:17.386] getCompletionData: Is inside comment: 0.02319999970495701
Info 236  [19:29:17.386] getCompletionData: Get previous token 1: 0.01600000075995922
Info 237  [19:29:17.386] getCompletionData: Get previous token 2: 0.03930000029504299
Info 238  [19:29:17.386] getCompletionsAtPosition: isCompletionListBlocker: 0.009199999272823334
Info 239  [19:29:17.391] getCompletionData: Semantic work: 4.99239999987185
Info 240  [19:29:17.391] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 0.004200000315904617
Info 241  [19:29:21.069] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 242  [19:29:21.074] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 52 structureChanged: false Elapsed: 4.899000000208616ms
Info 243  [19:29:21.074] Different program with same set of files:: structureIsReused:: 2
Info 244  [19:29:21.727] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 245  [19:29:21.731] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 53 structureChanged: false Elapsed: 3.258100001141429ms
Info 246  [19:29:21.731] Different program with same set of files:: structureIsReused:: 2
Info 247  [19:29:21.965] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 248  [19:29:21.968] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 54 structureChanged: false Elapsed: 3.210299998521805ms
Info 249  [19:29:21.968] Different program with same set of files:: structureIsReused:: 2
Info 250  [19:29:23.411] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 251  [19:29:23.414] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 55 structureChanged: false Elapsed: 3.162499999627471ms
Info 252  [19:29:23.414] Different program with same set of files:: structureIsReused:: 2
Info 253  [19:29:28.187] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 254  [19:29:28.191] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 56 structureChanged: false Elapsed: 3.2508000005036592ms
Info 255  [19:29:28.191] Different program with same set of files:: structureIsReused:: 2
Info 256  [19:29:28.744] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 257  [19:29:28.746] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 57 structureChanged: false Elapsed: 2.4813999999314547ms
Info 258  [19:29:28.746] Different program with same set of files:: structureIsReused:: 2
Info 259  [19:29:29.027] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 260  [19:29:29.031] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 58 structureChanged: false Elapsed: 3.810599999502301ms
Info 261  [19:29:29.031] Different program with same set of files:: structureIsReused:: 2
Info 262  [19:29:29.256] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 263  [19:29:29.258] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 59 structureChanged: false Elapsed: 2.3480000011622906ms
Info 264  [19:29:29.258] Different program with same set of files:: structureIsReused:: 2
Info 265  [19:29:29.468] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 266  [19:29:29.472] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 60 structureChanged: false Elapsed: 3.7140999995172024ms
Info 267  [19:29:29.472] Different program with same set of files:: structureIsReused:: 2
Info 268  [19:29:33.456] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 269  [19:29:33.462] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 61 structureChanged: false Elapsed: 4.985200000926852ms
Info 270  [19:29:33.462] Different program with same set of files:: structureIsReused:: 2
Info 271  [19:29:34.102] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 272  [19:29:34.104] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 62 structureChanged: false Elapsed: 2.3841000013053417ms
Info 273  [19:29:34.104] Different program with same set of files:: structureIsReused:: 2
Info 274  [19:29:36.339] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 275  [19:29:36.342] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 63 structureChanged: false Elapsed: 3.2470999993383884ms
Info 276  [19:29:36.342] Different program with same set of files:: structureIsReused:: 2
Info 277  [19:29:36.760] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 278  [19:29:36.763] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 64 structureChanged: false Elapsed: 2.266499999910593ms
Info 279  [19:29:36.763] Different program with same set of files:: structureIsReused:: 2
Info 280  [19:29:37.432] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 281  [19:29:37.437] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 65 structureChanged: false Elapsed: 4.240100000053644ms
Info 282  [19:29:37.437] Different program with same set of files:: structureIsReused:: 2
Info 283  [19:29:38.035] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 284  [19:29:38.039] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 66 structureChanged: false Elapsed: 4.037000000476837ms
